distribution,fileSizeBytes,round,sha256,encryptMs,decryptMs,success
deterministic-random,1048576,1,510f4ee0edff75072988d3b36825655c3f1db9d7d72638fc0d083257f3ac5d00,0.9292,0.3264,true
deterministic-random,1048576,2,356266568e9358e13df2fe90c5b951863a2d1ab362b3858e444e1dd634398c99,0.8088,0.3222,true
deterministic-random,1048576,3,f91243f912930212dcd57b3271da527491420d2dadc3872fffa05da01c21d2de,0.7352,0.3344,true
deterministic-random,1048576,4,e6f5808d7e79c4b3a105ba9d6ceb07f78f07b2ca593b15f3d22fad4bb86068ad,0.7588,0.4340,true
deterministic-random,1048576,5,9d5edd246c7f7c976f18ae3bc930947db3038c3f2f217046df832f4fa8b7d0f7,0.9457,0.3266,true
deterministic-random,1048576,6,0b594c5808ef758b3c94f274fd1a55c31d43933ff334e5bb22544b3ee65c5ddc,0.8191,0.3804,true
deterministic-random,1048576,7,76725d155e58c319d86a8d5b98c7057e27a63a2c994c1fcce2872e4792e4e62c,0.9840,0.4836,true
deterministic-random,1048576,8,d8cc6ba9f5e148b3d832891f813251f1277fd5ae325aec71cbc70f445900fd5a,0.9698,0.3460,true
deterministic-random,1048576,9,c49e29ffec9c1c9c0d5c00f2f0116767a73f7823457806d4d0a7af32c8953b72,1.1481,0.3321,true
deterministic-random,1048576,10,059404ac86550129f35a1f837ca18e438d8f7d7178df2418dd4fd962883f74ac,1.0058,0.3418,true
deterministic-random,1048576,11,2cf201c19a823bc82225b3578fe025bf8c5ca699566c8f6775cbbc45d4077bd7,0.9559,0.4721,true
deterministic-random,1048576,12,1de7a79d33b847c5f34595f5c0cb68b011a05b18e0b1f63a84f8039db8c2ad3d,1.4843,0.4752,true
deterministic-random,1048576,13,3bfe30032a086803710248eaa0abe8ee292ddea15869dfad8b9a187eea9e5f82,0.9944,0.3280,true
deterministic-random,1048576,14,d6ae0994568af31a5bb12e8c27f1943275ba5c2514d272d01a81e36ff290b5f1,0.8745,0.3184,true
deterministic-random,1048576,15,555372f808556272ba6d8fc5cc1020419fc9e8ce13b19d645a323f1d1b8d92fe,0.7978,0.3203,true
deterministic-random,1048576,16,68fe711ba48c23c9bf58724f65d3dd5c1dc5a2cc778832dd3128f869d731d9b3,0.9160,0.3316,true
deterministic-random,1048576,17,35b8a7a787cb34d52f408095a768861d16ada9036d4c868b56f6c021efca8869,1.1959,0.3252,true
deterministic-random,1048576,18,7c98e2ff990897387a7d7b4304147d9476a275fa8e30252df439e416ae1fb513,0.9179,0.3244,true
deterministic-random,1048576,19,423217d9feb7cd4f620ee16d00b04547d9497e1cf84467bac19526030d699f0e,0.7985,0.3241,true
deterministic-random,1048576,20,31620e4f63b2571ea9795308b636016e75c9ad2e9516c2fbc7be59f36a730b3a,0.7549,0.3350,true
deterministic-random,1048576,21,8323421daa519e44216b132d159a32308c07da93ffdd26d328c462173c4b31f7,0.8861,0.4205,true
deterministic-random,1048576,22,90dfa953d1be0eec35f0c728d8ea6c413775a8b0c659a51f164af7f1d4a23bfa,0.9140,0.3239,true
deterministic-random,1048576,23,6d2bf60c4f825a63f6cebb13abc18c6bb9ebefa9b4acd1990261f34e41df3101,0.8090,0.3591,true
deterministic-random,1048576,24,a8eff450d64d2ce2babc13914f0037723fa94e107cf9db65a395306a1f88514c,0.7336,0.3284,true
deterministic-random,1048576,25,25a2ac6bf09a917bdc35787e0c419a5e6bb7eefdebebd3d7ac67781d09ac618f,0.9131,0.3452,true
deterministic-random,1048576,26,6b2700392a0d9128bf51d4c45b61591a50c5056eb822cd5397340ba06dfde22b,0.8647,0.3444,true
deterministic-random,1048576,27,e466cbbc167cb2fd73f79d52832e585d1762593a6362b3ad23e5a9cc6a455127,1.1025,0.3320,true
deterministic-random,1048576,28,66952e23addbb8837e13dc4ed4787181788a532519bc75bb922cba38f973ed76,0.9556,0.3290,true
deterministic-random,1048576,29,92f6bd4044a7e7ae37583049728f7643c0436bf8e7255a797e7c8f7376d76f07,0.8965,0.3246,true
deterministic-random,1048576,30,1265b213ec24acab53abd3141265b446262e2abaaded940ce4c29fc41ab62693,0.7535,0.3394,true
zero-heavy,1048576,1,eb07fae56c406a49f5ec0f6aa4ab2bbc03510057361816aa4272b76c56cc0292,0.8597,0.3298,true
zero-heavy,1048576,2,e3cd1ddef0621ae52dc0ce361b0c06c3a2e0b5634887442ce56d97536b534f4a,0.7628,0.3413,true
zero-heavy,1048576,3,82c12277783baf154c7bf6f31efac3baf14edc693359bb46d585c2b67c1eaf06,0.9180,0.3269,true
zero-heavy,1048576,4,4c52aab2e6f7e234113146e40f46f0cab76f69d9c5b36076f90f1ee8b0a04d03,0.8129,0.3238,true
zero-heavy,1048576,5,817a59fbf01451e3add95f4e4a836cae53b69f373ebdc7293458be48e850794d,0.9523,0.3359,true
zero-heavy,1048576,6,e2fd14e42ecaf26169fe0d4188edaf2a0987014043b9b9e184f14cdcd9cade4f,0.8098,0.3418,true
zero-heavy,1048576,7,b0244923729063439854b1b55c1fbecd67b775021ce9314f17eb656cbded7816,1.0475,0.3361,true
zero-heavy,1048576,8,4d6be742af470a6c2c34a80ce5744018dae8b70fecc7647b478d91ef745b1714,0.9758,0.3437,true
zero-heavy,1048576,9,fb3c7b39a3f6617f9753520c422c177964a4e4ae567a9dee0dd54cc3d55d7eea,0.9772,0.3504,true
zero-heavy,1048576,10,6887eb3af57df6b8a8aebed0ce291d4a0fb749f20b6f730b0fb48b0b024507ff,1.0544,0.3546,true
zero-heavy,1048576,11,f3c8eeb13031c542ce7a82758727d7606297dfbad837db650fe32068f05532a3,1.0021,0.3784,true
zero-heavy,1048576,12,3f92592792d5e657f26b65dc21f2615ef437e5bd4cc648cd045fbc79c5cc1e04,0.9139,0.3870,true
zero-heavy,1048576,13,6e7e5bf811e90463b2f94ffac9a12232e234c2b90d4e567c65ce54faa55861fc,1.1836,0.3770,true
zero-heavy,1048576,14,1c1c89b193ba8ae4550874bdd12d318c1aa2ebc6d14e790ed7e3145a496f9a51,1.0149,0.3664,true
zero-heavy,1048576,15,21d690b1fc49b3e1c98356b827e9e6dbe84a22e60b59899243a44197a2ca5de6,0.9353,0.4087,true
zero-heavy,1048576,16,e7ee997c6cd2a8a735970ea7dab19fbe135f07873b48e18bf0ee5ae0f59e3ce1,1.3338,0.5185,true
zero-heavy,1048576,17,5984811eefa1b7b643d0bdff5359b14f5c4c409e24bfce239e13655b2204f5af,1.0684,0.4835,true
zero-heavy,1048576,18,a2bf64d1deee0633db5767f704e11237a98ca016b7991a9041d59b47872deb45,1.1205,0.5048,true
zero-heavy,1048576,19,f06eb058d90a5592c15e735f3f2596370fc456003a35d05f61693dceed8efa42,1.0028,0.4903,true
zero-heavy,1048576,20,9af232bd4d9ae48281576c92b41bc1bef0f3c2cb0468c4ff16b8282248159f14,0.9395,0.4790,true
zero-heavy,1048576,21,93b621441077bb0d9261e418b67c8e006cd7b42926e324f119f5bd1a40a18adc,1.3750,0.5050,true
zero-heavy,1048576,22,665637a260dc0e1dc3e9ccc73acaa116dab5d1a01bb06d0f27b7bc8eecfdf015,0.9818,0.4760,true
zero-heavy,1048576,23,a30c68363a9801f4384fb146b2d91c544e39d043b10e71c3b3814cc999ba8156,0.8753,0.4562,true
zero-heavy,1048576,24,5dd8d0e1aaac3b0da76786d5f2488b003a0e4b328776c8b6d295482a9ac0f0f1,1.0144,0.4743,true
zero-heavy,1048576,25,28772689acf49810ad6df7312fd7adffe13bb52230e4892a8a47775febd1ca2c,0.9556,0.4886,true
zero-heavy,1048576,26,d0978578306e00cc2f918c12640ce74431ba9352127ea7f9e8c3b411b51f1189,0.9160,0.4588,true
zero-heavy,1048576,27,01c9ca01d92bd04b165b74daaecf0232ea41cdba248621da5501fc7c1fc2d2d8,0.8670,0.4734,true
zero-heavy,1048576,28,a8130e14e9254f5aac200c56056486dc30c017ad15c56ebe09211c1f1230e618,0.9361,0.3761,true
zero-heavy,1048576,29,8fd191e9de0c5393445c27a9b8c53fe9a0665d50f4c1609e93fc36f7e7ca4ed2,0.8508,0.3246,true
zero-heavy,1048576,30,7ab340730f64132ebf59a99fe420a4ca65e6df260ef76bfa7ee1a350d81e443a,0.9482,0.3145,true
text-json,1048576,1,8c2e126a7a595b33c271e5d5a4653f12419aa7fa7cc972d9dd6ba72533bc21e3,1.0476,0.3457,true
text-json,1048576,2,c5204b1874e0d16bbcd8f9731969b04c3de6ccd99bf55f80547b15dec893b5c6,0.8885,0.3307,true
text-json,1048576,3,2c64b66d8cf67cf5c6a843e859d84c393f94efdda548c512caf4241645de4ecf,0.7577,0.3305,true
text-json,1048576,4,46ce642e819eed391f262df1059368cd52be8ed41815cf6fcd8233c5ba3e0e69,0.8349,0.3348,true
text-json,1048576,5,ff231669101a5c50389b2111ceb0c471183c12d21f0e1de84616c5ccd48c893c,0.7117,0.3177,true
text-json,1048576,6,0350528e5ef25a96b33d5364b4a34509bb55661cd4d99e6858c43918be60f5f3,0.6704,0.3266,true
text-json,1048576,7,caebe5e52c59885672d4db06f8dcbdd3afcfaf981fd738f3658c4ca1867b6cba,0.7055,0.3265,true
text-json,1048576,8,a862f614be470aa47554cd20917472d74728a56e0a1cc360ca66cc9feadb5e74,0.7026,0.3482,true
text-json,1048576,9,d25ab7d6b742fb878323515aa87e8c6c9116c3855abf68e418963ea79fd2e8f5,0.7207,0.3188,true
text-json,1048576,10,74a68e1435d9307ba41a6c405ee36763ade3b8258747c12df895b2e1d43e5426,0.6897,0.3205,true
text-json,1048576,11,2640298a1f469c3c503b973e093dd3d4e6fdb00b21baec300bc0e5f1a85874da,0.7544,0.3120,true
text-json,1048576,12,6fd4b58607995b7cef3fc75c1d599c7ec97ab50c94398488c5b131e0e4d2878f,0.8086,0.3219,true
text-json,1048576,13,875083329998a61f5ebfc536d531b4487e460b8b8c216f93d89d27010f70c1ca,0.8056,0.3367,true
text-json,1048576,14,001162f3e913a7e01aa2a67b388688e0b3ba3e83816e9bbe46fe21b666ef0cce,0.8209,0.3130,true
text-json,1048576,15,40d3f7b9d6ff92d966c08e4f184ece39a838913a554768a59e1251061477fc84,0.7109,0.3121,true
text-json,1048576,16,9cf2922d57d3704bceb7301a8f03b26be91b70819647ec51073909da6aaf2603,0.6828,0.3125,true
text-json,1048576,17,8185c2a439fc8cdd092b8936f1f2ad053c61b4e413785733895889467efb1830,0.7380,0.3260,true
text-json,1048576,18,3be55f2efd5fb5bb4c1f0942dc95d54315dd80862352d62964af188c4a2008c5,0.8205,0.3138,true
text-json,1048576,19,869cc79686d6ba739bf69a86941a9a6e57e7e93cb2c206c8bb8fc11e4c53aa37,0.6984,0.3189,true
text-json,1048576,20,c9ccf7f2e7a80411bd80f417e7c7a7e0faf5425e6e8234628c362871e9b940b1,0.6889,0.3119,true
text-json,1048576,21,aaab174bdc1c87b2903db507f0f1463169832193e73a7eb1636c8610f8aefd42,0.9440,0.3097,true
text-json,1048576,22,9d6d0843d5b3b7ddfe48eb9cfdb854db3d91ebbb6672cea54fd7ec4fa54acb22,0.7391,0.3087,true
text-json,1048576,23,fe2325a8bc2b70cc4fc41e75e12fee013f5118518ad9f7afc50da6c8f3f5a5ab,0.7995,0.3093,true
text-json,1048576,24,143ec85244e10ca52de0f51d13d47ca2c47bfa847f90ee226e9f3ad45dcac77c,0.6936,0.3137,true
text-json,1048576,25,6d6e539ee51acd3cabe236cee92fd3bb1ac30a3c1ccb458c9a124f931c3c7af2,0.6845,0.3075,true
text-json,1048576,26,5b0a0de6e0256da4860722f65eca0efd6c147dc3116858878fd43f4d7238985d,0.6617,0.3205,true
text-json,1048576,27,4e103eca4bc7d5d403188d04be5dc23047295aa1cd3ad59ea1c238d061675f92,0.7842,0.3263,true
text-json,1048576,28,8932543eb85c4b4f58449ce8a00f882713e2429421ef6adce54e8147d4f70d28,0.8305,0.3134,true
text-json,1048576,29,a03ee16f674798fa34aef6fb7fa294c4a0b9b007024099961ef8de8c438e11cc,0.9537,0.3438,true
text-json,1048576,30,1643d989c47a4f72e37f1a93781ce3fb1bec7770adc5aa3c9dfa567f88f5ca96,0.8724,0.3130,true
binary-image-like,1048576,1,cb4ead30a9861fe4bde9fdb9c9657bdc8f8576a64620e061298abbdbd28b537a,0.9319,0.3313,true
binary-image-like,1048576,2,45d03123ee2d4b8f6345b3c241bd16e754b9e387185d04b1c0f360d0b8ea794a,0.9308,0.3273,true
binary-image-like,1048576,3,f2f1fea8df84cb016d24ecfe26280719e83bcd1aa89e58bc24fdc0ad00e21728,0.8851,0.3215,true
binary-image-like,1048576,4,c127ae97f634e679f5674580a0ed576ebc1827eb328e6b0913b1058df2195dd5,1.1610,0.3440,true
binary-image-like,1048576,5,e549a1debd9af898f3f66b980be3765e639f61893b6567208ae34c7e7f007401,1.2172,0.3301,true
binary-image-like,1048576,6,c65ff8c59592debb08ec02350e9ccc461d121ab0c0a788dac27f7e74d7785581,0.9097,0.3335,true
binary-image-like,1048576,7,85db7958d2481c41d5c93e131fdb265297a982fb058c92d6f33e65348770207d,1.3644,0.3555,true
binary-image-like,1048576,8,1b000c512cc1f18f25b0bc47f8e666ec76e69c9c48284064ede1a7922ae69362,1.1478,0.3385,true
binary-image-like,1048576,9,b4283d061554b242235702488862d05f064317ee1c45471d78f541ffaf8b3002,1.3609,0.4319,true
binary-image-like,1048576,10,1259c052a67a2c491dac02c6308be222c5b04df5af9f533f3b77efa64fcd9e77,1.2526,0.3463,true
binary-image-like,1048576,11,9b9c1f793c6277767ffd66919a2c7dab932a284fdc7b35f93db9ddc6a2b4a9af,0.9182,0.3329,true
binary-image-like,1048576,12,f885fd263949ec3a233888b019cc454700dd272c4df9a8ab8eef027411facc5d,0.8351,0.3710,true
binary-image-like,1048576,13,0ec5f2355c3f5547bef600cbe52b1177954a12916f512710c93b92b448fb9a6d,0.8822,0.3449,true
binary-image-like,1048576,14,521ae2d496a4e1f47f2ae6003e29875a3cf861ef50d21c69b8493c3a1191ad00,1.7134,0.3558,true
binary-image-like,1048576,15,0ef9304e3255c88b2b024edf76164c3869d9f9d637907a2a58bcd086dc7c8c74,0.9356,0.3465,true
binary-image-like,1048576,16,8ded65247287f703aeac79c6225f8f959daeb275666e4755ceeeae6303e2fb38,0.8878,0.3720,true
binary-image-like,1048576,17,ec58279ffdf04ee01100afbe80d07a549f7b36eb48521ce8deac688bff8e2bb5,0.8873,0.3585,true
binary-image-like,1048576,18,d5a3a727202ee73cf086249cd0686b4ad28527a847ab02879f46ac9ce1e78816,0.8328,0.3540,true
binary-image-like,1048576,19,a6f7d51f1d0f8bf3c7b611e9f09969fc2f2a85b97d77ec79d901afb59e11d8dd,0.9028,0.3548,true
binary-image-like,1048576,20,174b40ec15ef5c07a3e9d6206ba77324081323aed0767dbc231ce02d9d41bbae,0.7992,0.3301,true
binary-image-like,1048576,21,ffc3873a28f90abb2e254d51fe683b9c8de45449b43087282f8d28f856f84c76,0.7110,0.3268,true
binary-image-like,1048576,22,2357231aa7d66f521222e39201a336033445afde15d4e50f86aebd5ac6a5398f,0.7080,0.3251,true
binary-image-like,1048576,23,71a5cb281352eaa90963f628ada4f33b13e6d25fe28791c76d2c821982c1aa1b,0.7168,0.3358,true
binary-image-like,1048576,24,4980589a33b2b31bdc816b8ea0328305c840cbbb555cd6c6506a6273c9fc91c0,0.7214,0.3217,true
binary-image-like,1048576,25,83a8439a2283546376a797631ec0ad4f4cee1e7a7a811da966231bcbe5ebfd89,0.8767,0.3495,true
binary-image-like,1048576,26,023b7210a2e8cae4ae4a7768b55058e57a90abbb2305004a620d3c43fbb40c50,0.8679,0.3357,true
binary-image-like,1048576,27,266876b7858db90086d9a5e582a855099a31f5f13dfe4baad588181f34d3d335,0.7369,0.3233,true
binary-image-like,1048576,28,83aafb868b2c2d6be7179c29ff8787c1cc62a3eaaa7170554c38059bd67d5fa0,0.8732,0.3256,true
binary-image-like,1048576,29,8e386c03e7a7130b21ffcfe9ea41727acbd8729fdb9146312241997e169fdbfa,0.6993,0.3157,true
binary-image-like,1048576,30,0cda238399c6108b318b37362156e86ed5afc755b20cfad7e691b92331e84b7a,0.6752,0.3172,true
compressible,1048576,1,47f4fe5ebfc5e9990b172c30895df8989ce3e2dac6a21ba5b6d874d3d136a590,0.9040,0.4066,true
compressible,1048576,2,47f4fe5ebfc5e9990b172c30895df8989ce3e2dac6a21ba5b6d874d3d136a590,0.9751,0.3288,true
compressible,1048576,3,47f4fe5ebfc5e9990b172c30895df8989ce3e2dac6a21ba5b6d874d3d136a590,0.9731,0.3274,true
compressible,1048576,4,47f4fe5ebfc5e9990b172c30895df8989ce3e2dac6a21ba5b6d874d3d136a590,0.8915,0.3646,true
compressible,1048576,5,47f4fe5ebfc5e9990b172c30895df8989ce3e2dac6a21ba5b6d874d3d136a590,0.8517,0.3380,true
compressible,1048576,6,47f4fe5ebfc5e9990b172c30895df8989ce3e2dac6a21ba5b6d874d3d136a590,0.9562,0.3257,true
compressible,1048576,7,47f4fe5ebfc5e9990b172c30895df8989ce3e2dac6a21ba5b6d874d3d136a590,0.7986,0.3196,true
compressible,1048576,8,47f4fe5ebfc5e9990b172c30895df8989ce3e2dac6a21ba5b6d874d3d136a590,0.7663,0.3228,true
compressible,1048576,9,47f4fe5ebfc5e9990b172c30895df8989ce3e2dac6a21ba5b6d874d3d136a590,0.7706,0.3289,true
compressible,1048576,10,47f4fe5ebfc5e9990b172c30895df8989ce3e2dac6a21ba5b6d874d3d136a590,0.8490,0.3514,true
compressible,1048576,11,47f4fe5ebfc5e9990b172c30895df8989ce3e2dac6a21ba5b6d874d3d136a590,0.7514,0.3573,true
compressible,1048576,12,47f4fe5ebfc5e9990b172c30895df8989ce3e2dac6a21ba5b6d874d3d136a590,0.8044,0.5120,true
compressible,1048576,13,47f4fe5ebfc5e9990b172c30895df8989ce3e2dac6a21ba5b6d874d3d136a590,0.8324,0.3289,true
compressible,1048576,14,47f4fe5ebfc5e9990b172c30895df8989ce3e2dac6a21ba5b6d874d3d136a590,1.0681,0.3287,true
compressible,1048576,15,47f4fe5ebfc5e9990b172c30895df8989ce3e2dac6a21ba5b6d874d3d136a590,0.7510,0.3290,true
compressible,1048576,16,47f4fe5ebfc5e9990b172c30895df8989ce3e2dac6a21ba5b6d874d3d136a590,0.7660,0.3273,true
compressible,1048576,17,47f4fe5ebfc5e9990b172c30895df8989ce3e2dac6a21ba5b6d874d3d136a590,0.6869,0.3165,true
compressible,1048576,18,47f4fe5ebfc5e9990b172c30895df8989ce3e2dac6a21ba5b6d874d3d136a590,0.7530,0.3269,true
compressible,1048576,19,47f4fe5ebfc5e9990b172c30895df8989ce3e2dac6a21ba5b6d874d3d136a590,0.7584,0.3187,true
compressible,1048576,20,47f4fe5ebfc5e9990b172c30895df8989ce3e2dac6a21ba5b6d874d3d136a590,0.9963,0.3329,true
compressible,1048576,21,47f4fe5ebfc5e9990b172c30895df8989ce3e2dac6a21ba5b6d874d3d136a590,0.9317,0.3311,true
compressible,1048576,22,47f4fe5ebfc5e9990b172c30895df8989ce3e2dac6a21ba5b6d874d3d136a590,1.1978,0.3533,true
compressible,1048576,23,47f4fe5ebfc5e9990b172c30895df8989ce3e2dac6a21ba5b6d874d3d136a590,0.9952,0.3268,true
compressible,1048576,24,47f4fe5ebfc5e9990b172c30895df8989ce3e2dac6a21ba5b6d874d3d136a590,1.2852,0.3895,true
compressible,1048576,25,47f4fe5ebfc5e9990b172c30895df8989ce3e2dac6a21ba5b6d874d3d136a590,0.8620,0.3240,true
compressible,1048576,26,47f4fe5ebfc5e9990b172c30895df8989ce3e2dac6a21ba5b6d874d3d136a590,0.7218,0.3256,true
compressible,1048576,27,47f4fe5ebfc5e9990b172c30895df8989ce3e2dac6a21ba5b6d874d3d136a590,0.7836,0.3261,true
compressible,1048576,28,47f4fe5ebfc5e9990b172c30895df8989ce3e2dac6a21ba5b6d874d3d136a590,1.1354,0.3449,true
compressible,1048576,29,47f4fe5ebfc5e9990b172c30895df8989ce3e2dac6a21ba5b6d874d3d136a590,0.8458,0.3688,true
compressible,1048576,30,47f4fe5ebfc5e9990b172c30895df8989ce3e2dac6a21ba5b6d874d3d136a590,0.7136,0.3544,true
